run_date,code,name,wics,metric,period,value
2026-07-11,005930,삼성전자,반도체와반도체장비,target_price,,513958.0
2026-07-11,005930,삼성전자,반도체와반도체장비,rev_e,2026/12,7324732.0
2026-07-11,005930,삼성전자,반도체와반도체장비,op_e,2026/12,3832404.0
2026-07-11,000660,SK하이닉스,반도체와반도체장비,target_price,,3547917.0
2026-07-11,000660,SK하이닉스,반도체와반도체장비,rev_e,2026/12,3577853.0
2026-07-11,000660,SK하이닉스,반도체와반도체장비,op_e,2026/12,2767812.0
2026-07-11,402340,SK스퀘어,반도체와반도체장비,target_price,,1810000.0
2026-07-11,402340,SK스퀘어,반도체와반도체장비,rev_e,2026/12,73622.0
2026-07-11,402340,SK스퀘어,반도체와반도체장비,op_e,2026/12,430392.0
2026-07-11,009150,삼성전기,전자장비와기기,target_price,,2470000.0
2026-07-11,009150,삼성전기,전자장비와기기,rev_e,2026/12,135229.0
2026-07-11,009150,삼성전기,전자장비와기기,op_e,2026/12,16524.0
2026-07-11,005380,현대차,자동차,target_price,,812800.0
2026-07-11,005380,현대차,자동차,rev_e,2026/12,1937132.0
2026-07-11,005380,현대차,자동차,op_e,2026/12,118722.0
2026-07-11,373220,LG에너지솔루션,전기제품,target_price,,554136.0
2026-07-11,373220,LG에너지솔루션,전기제품,rev_e,2026/12,304941.0
2026-07-11,373220,LG에너지솔루션,전기제품,op_e,2026/12,11445.0
2026-07-11,032830,삼성생명,생명보험,target_price,,406179.0
2026-07-11,032830,삼성생명,생명보험,op_e,2026/12,33019.0
2026-07-11,105560,KB금융,은행,target_price,,215611.0
2026-07-11,105560,KB금융,은행,op_e,2026/12,92995.0
2026-07-11,207940,삼성바이오로직스,제약,target_price,,2055000.0
2026-07-11,207940,삼성바이오로직스,제약,rev_e,2026/12,54270.0
2026-07-11,207940,삼성바이오로직스,제약,op_e,2026/12,24946.0
2026-07-11,028260,삼성물산,복합기업,target_price,,585385.0
2026-07-11,028260,삼성물산,복합기업,rev_e,2026/12,441678.0
2026-07-11,028260,삼성물산,복합기업,op_e,2026/12,36331.0
